phase,acc@avg,acc@1,acc@5,f1-micro,loss
0,0.1704,0.1704,0.412,0.1704,3.845223655121917
1,0.16741153846153844,0.16442307692307692,0.4015384615384615,0.16442307692307692,3.887349567417702
2,0.1696941120607787,0.17425925925925925,0.4162962962962963,0.17425925925925925,3.9189890680272623
3,0.17070808404558402,0.17375,0.4069642857142857,0.17375,3.958052125853585
4,0.1706354327537086,0.1703448275862069,0.40206896551724136,0.1703448275862069,3.995426431483645
5,0.16969619396142385,0.165,0.393,0.165,4.031544985474363
6,0.1693939727042619,0.16758064516129031,0.3953225806451613,0.16758064516129031,4.063232586775427
7,0.16954785111622916,0.170625,0.39375,0.170625,4.093491205785169
8,0.16907620435920706,0.1653030303030303,0.3834848484848485,0.1653030303030303,4.126619843699509
9,0.16844799568799224,0.1627941176470588,0.38338235294117645,0.1627941176470588,4.157457053261952
10,0.16788778828778517,0.16228571428571428,0.384,0.16228571428571428,4.187594282325444
11,0.16743880593046975,0.1625,0.38902777777777775,0.1625,4.2157126204717565
12,0.1667834300065043,0.1589189189189189,0.3858108108108108,0.1589189189189189,4.244461142972076
13,0.16587596696092693,0.15407894736842107,0.3775,0.15407894736842107,4.272827909996318
14,0.16494577429173693,0.1519230769230769,0.37243589743589745,0.1519230769230769,4.300364840328864
15,0.16387103839850337,0.14775,0.362625,0.14775,4.327433783787878
16,0.16278967172082956,0.14548780487804877,0.355,0.14548780487804877,4.353600383061144
17,0.16178151535538665,0.14464285714285716,0.3607142857142857,0.14464285714285716,4.3779644245996465
18,0.16070855922285102,0.1413953488372093,0.35593023255813955,0.1413953488372093,4.402818094242309
19,0.15974131307989028,0.14136363636363636,0.3525,0.14136363636363636,4.42685059026887
20,0.15871659446762038,0.13822222222222222,0.3472222222222222,0.13822222222222222,4.4505691534677965
21,0.15773244096415145,0.13706521739130434,0.34304347826086956,0.13706521739130434,4.473631601377611
22,0.15673019792500706,0.1346808510638298,0.3406382978723404,0.1346808510638298,4.496681374174839
23,0.155807411900354,0.13458333333333333,0.3408333333333333,0.13458333333333333,4.518203850611003
24,0.1548608297100541,0.13214285714285715,0.3373469387755102,0.13214285714285715,4.539704758304407
25,0.15390079779812893,0.1299,0.3339,0.1299,4.560940579438322
